epoch,train_accuracy,train_macro_precision,train_macro_recall,train_macro_f1,train_loss,train_samples,validation_accuracy,validation_macro_precision,validation_macro_recall,validation_macro_f1,validation_loss,validation_samples,learning_rate,seconds
1,0.7960610651439226,0.7694755755609846,0.7929190821219231,0.777598121512147,0.6366101337915644,8581,0.845568243610658,0.8324155777953101,0.8492663941032388,0.8354594111971302,0.4986705358356416,1839,0.0003,94.31798650000019
2,0.886376879151614,0.867426421688829,0.8878448057829946,0.8755927241647857,0.3509982695266676,8581,0.845568243610658,0.8461375268028432,0.8376040787355553,0.8361149883206791,0.5492291229454443,1839,0.0003,78.23275604200171
3,0.9043235054189488,0.8903795329148012,0.9069522362669481,0.8975536088096667,0.28737862428131256,8581,0.8727569331158238,0.8479988676994908,0.8715957384576363,0.8567027706608454,0.4015190777018901,1839,0.0003,92.84577004099992
4,0.9355552965854795,0.9233747379712451,0.9381713282047193,0.9299817974856307,0.20143695488744037,8581,0.8281674823273518,0.8119702810903388,0.835680317226297,0.8099361357789933,0.6025573309833036,1839,0.0003,99.31446375000087
5,0.9333411024356135,0.9227571363353293,0.936770717969989,0.9290703270878943,0.1943155348599617,8581,0.8417618270799347,0.822814865807165,0.8372168623477517,0.8243701096054101,0.5443963946176003,1839,0.0003,95.33352841699889
6,0.933457638969817,0.9222619104084486,0.934908673371325,0.9280455514691324,0.1955181703877927,8581,0.8776508972267537,0.8755846288789595,0.8765416307990144,0.8723990752009895,0.44076898112252977,1839,0.0003,96.36067987500064
7,0.9561822631394943,0.9483386684385492,0.9596564314139098,0.9536204324294136,0.12308193300587497,8581,0.8994018488308864,0.8935348784492729,0.8957199671471194,0.8942533021238157,0.3884535960168408,1839,0.0003,97.26858241700029
8,0.957114555413122,0.9500696811071767,0.9587421180882455,0.9541691822166622,0.13162683177113796,8581,0.8466557911908646,0.8377198784267987,0.8295814093165207,0.8227579842645122,0.6497419443125307,1839,0.0003,79.45914987500146
9,0.9244843258361496,0.9139963245013917,0.9298592453583435,0.9211483614435204,0.2186180216395595,8581,0.8629690048939641,0.8616662752112646,0.8584027977442314,0.8548456927104588,0.5085858345485499,1839,0.0003,81.74882399999842
10,0.9546672881948491,0.9467019440440607,0.9555455316848003,0.9508723755857897,0.13696742613837096,8581,0.8771071234366503,0.8662593667184234,0.8744155378178498,0.8688683741043588,0.45089867589524285,1839,0.00015,103.38604558400039
11,0.9791399603775783,0.9748424169635882,0.980730252189869,0.977660593896576,0.059529114917030064,8581,0.8966829798803697,0.8812523593920695,0.8943273574484838,0.8862245020138756,0.37878462741918184,1839,0.00015,103.65168012499998
