epoch,train_accuracy,train_macro_precision,train_macro_recall,train_macro_f1,train_loss,train_samples,validation_accuracy,validation_macro_precision,validation_macro_recall,validation_macro_f1,validation_loss,validation_samples,learning_rate,seconds
1,0.27397739191236453,0.255698687446446,0.28082111086117445,0.256276379615512,2.033636438000551,8581,0.3289831430125068,0.3194725118681804,0.3214976197711488,0.28700946016160367,1.9398618340816363,1839,0.001,121.20049508299962
2,0.3113856193916793,0.29325486564236714,0.319246352083898,0.29259897718703615,1.9244349297631413,8581,0.3251767264817836,0.3585129434707209,0.34266308601929557,0.3180419524316983,1.8610213711055612,1839,0.001,117.77582724999957
3,0.3391213145321058,0.3216229562107639,0.35779242935821853,0.3245550057876504,1.8431835243604966,8581,0.3969548667754214,0.4212510115433899,0.3935065907936185,0.3683474618607287,1.7152014078168263,1839,0.001,132.52559825000026
4,0.3604475002913413,0.3436424135113777,0.3788900274014273,0.3473172847387176,1.7915377029518524,8581,0.3833605220228385,0.3687952180654178,0.4151377412452552,0.347237005358404,1.6956770781786172,1839,0.001,122.50854704099947
5,0.3670900827409393,0.3515126739445702,0.3923574542394319,0.3558122126050381,1.762573717440943,8581,0.4132680804785209,0.4393050893488774,0.435294074963415,0.40941088150862726,1.6371544555453519,1839,0.001,121.4809530829989
6,0.38049178417433865,0.36488062132467886,0.4040648687026079,0.36962590967481634,1.7301750425386089,8581,0.4230560087003806,0.4302912533524951,0.4572373635078434,0.42138430975926483,1.560362924240801,1839,0.001,120.5677135829992
7,0.3987880200442839,0.3840870344658431,0.4223921266678573,0.38775606779653266,1.6846628920652138,8581,0.40076128330614463,0.41069349062143007,0.4163049637200188,0.37899054978161834,1.6605211601366228,1839,0.001,123.6890784999996
8,0.40578021209649223,0.38904307503239505,0.4285169358427048,0.39450430238630696,1.6736453983169963,8581,0.4497009244154432,0.4548923939304331,0.4777589156042539,0.4418641665650494,1.5128919444309752,1839,0.001,132.58004462499957
9,0.4116070388066659,0.39611812549572006,0.43643767885220913,0.4018486463676115,1.66699235893021,8581,0.41000543773790105,0.43479247738686444,0.43826766770961634,0.38971188601653917,1.5375057014840787,1839,0.001,126.82429541700003
10,0.4202307423377229,0.40769361882704686,0.4443176626661621,0.4124374912343819,1.6180974533891028,8581,0.4214246873300707,0.4754633381714255,0.4406180803443167,0.41765858259552535,1.597461332115808,1839,0.001,120.62608887500028
11,0.4268733247873208,0.41118615469687925,0.4505940352940482,0.4160294731785742,1.6010888568894621,8581,0.47090810222947255,0.47716891592131755,0.5000217901755498,0.4694499167330218,1.5057819224104019,1839,0.001,103.00031616599881
12,0.4402750262207202,0.4243191322019938,0.4630260336837228,0.43070488661044504,1.5774224585912233,8581,0.4551386623164764,0.4905005232340983,0.4790412779567529,0.4524154152684483,1.477367547039366,1839,0.001,109.8688372079996
13,0.45612399487239247,0.4398165237691761,0.4802743423841792,0.44660226456033875,1.5480925225805895,8581,0.5138662316476346,0.505632658765179,0.526880076142868,0.5094099737081754,1.3867600543010228,1839,0.001,107.75524266600041
14,0.4654469176086703,0.4483807357514535,0.4857093651398706,0.45565108010579164,1.5137285889202226,8581,0.5051658510059815,0.5073229135830254,0.5218805984619969,0.4925807968671207,1.392597494986214,1839,0.001,118.0980295419995
15,0.462650040787787,0.4448050305259497,0.4833442381490499,0.451744186110101,1.5156566911804525,8581,0.5024469820554649,0.5019110658508479,0.5355848158179876,0.493762016802341,1.3981711133269268,1839,0.001,112.83073504099957
16,0.48246125160237735,0.466735783040743,0.5033635829153216,0.4754438922768588,1.4720561159836525,8581,0.5046220772158782,0.5186558104614437,0.5373135875322266,0.5040021601762156,1.3487445140027559,1839,0.0005,128.8557617080005
17,0.5022724624169678,0.48345853974055314,0.5245196570826407,0.4926416239131446,1.4036859702555509,8581,0.566068515497553,0.5650656205507507,0.5758875166183461,0.5618286537168596,1.274638558354567,1839,0.0005,103.23515670800043
18,0.5113623120848386,0.49420235650100663,0.532134603091856,0.503938324328607,1.3736427182737811,8581,0.55573681348559,0.5490073158270768,0.5836969832571607,0.548506906799048,1.2543257260335536,1839,0.0005,127.35704429200086
19,0.5145087985083323,0.4972530051434533,0.5351329062167295,0.5069931698449421,1.3773986226319572,8581,0.4812398042414356,0.5314617592659128,0.475360705552342,0.47202467635500794,1.45968447203478,1839,0.0005,125.60912154200014
20,0.5230159655051859,0.5057690735511281,0.5424164626640444,0.5149712999400086,1.3569313939836611,8581,0.5633496465470365,0.5558795440912971,0.5938212559486477,0.5561358256212428,1.2523202728875116,1839,0.00025,131.4348897079999
