model,parameters,best_epoch,epochs_completed,validation_macro_f1,test_accuracy,test_macro_precision,test_macro_recall,test_macro_f1,test_samples
custom_cnn,1175786,17,20,0.5618286537,0.5644371941,0.5543494161,0.5730853955,0.5572229845,1839
resnet18,11181642,7,11,0.8942533021,0.8896139206,0.8729308783,0.8835810477,0.8771093181,1839
